Date,Pcpn
3/11/04,0.27
3/12/04,0.06
3/13/04,0.22
3/14/04,0.06
3/15/04,0.09
3/16/04,3.58
3/17/04,0.05
3/18/04,0.5
3/19/04,0.23
3/20/04,0.31
3/21/04,0.22
3/22/04,0.13
3/23/04,0.49
3/24/04,5.84
3/25/04,90.53
3/26/04,147.17
3/27/04,27.07
3/28/04,1.51
3/29/04,5.84
3/30/04,15.72
3/31/04,4.96
4/1/04,11.62
4/2/04,24.85
4/3/04,13.52
4/4/04,5.18
4/5/04,0.93
4/6/04,0.79
4/7/04,0.08
4/8/04,4.87
4/9/04,0.47
4/10/04,0.13
4/11/04,0.14
4/12/04,0.11
4/13/04,3.34
4/14/04,17.46
4/15/04,25.59
4/16/04,8.54
4/17/04,32.66
4/18/04,37.4
4/19/04,41.53
4/20/04,82.25
4/21/04,59.9
4/22/04,8.17
4/23/04,1.74
4/24/04,0.74
4/25/04,0.26
4/26/04,0.24
4/27/04,0.33
4/28/04,0.23
4/29/04,0.05
4/30/04,0.2
5/1/04,0.13
5/2/04,0.15
5/3/04,0.13
5/4/04,0.16
5/5/04,0.04
5/6/04,0.5
5/7/04,4.67
5/8/04,6.39
5/9/04,2.93
5/10/04,29.3
5/11/04,19.41
5/12/04,3.79
5/13/04,0.29
5/14/04,0.48
5/15/04,0.31
5/16/04,0.3
5/17/04,5.33
5/18/04,21.76
5/19/04,2.56
5/20/04,2.69
5/21/04,7.43
5/22/04,5.48
5/23/04,0.51
5/24/04,1.82
5/25/04,1.32
5/26/04,2.46
5/27/04,11.04
5/28/04,55.37
5/29/04,10.79
5/30/04,1.45
5/31/04,0.33
6/1/04,0.06
6/2/04,0.08
6/3/04,0.15
6/4/04,0.05
6/5/04,0.13
6/6/04,0.74
6/7/04,1.88
6/8/04,3.12
6/9/04,7.93
6/10/04,4.36
6/11/04,0.4
6/12/04,0.12
6/13/04,0.2
6/14/04,0.17
6/15/04,0.61
6/16/04,1.73
6/17/04,0.68
6/18/04,0.13
6/19/04,0.17
6/20/04,0.18
6/21/04,0.32
6/22/04,0.31
6/23/04,0.32
6/24/04,0.37
6/25/04,0.22
6/26/04,0.59
6/27/04,0.64
6/28/04,3.08
6/29/04,5.52
6/30/04,2.47
7/1/04,3.03
7/2/04,0.97
7/3/04,0.77
7/4/04,0.27
7/5/04,0.42
7/6/04,1.11
7/7/04,0.4
7/8/04,0.27
7/9/04,0.14
7/10/04,0.04
7/11/04,0.23
7/12/04,0.11
7/13/04,0.19
7/14/04,1.2
7/15/04,1.37
7/16/04,0.43
7/17/04,1.04
7/18/04,1.27
7/19/04,1.55
7/20/04,0.63
7/21/04,0.03
7/22/04,0.36
7/23/04,0.44
7/24/04,0.22
7/25/04,2.35
7/26/04,3.09
7/27/04,0.12
7/28/04,0.11
7/29/04,0.14
7/30/04,0.12
7/31/04,1.12
8/1/04,0.6
8/2/04,1.31
8/3/04,0.82
8/4/04,0.49
8/5/04,0.12
8/6/04,0.71
8/7/04,0.42
8/8/04,0.1
8/9/04,0.16
8/10/04,0.05
8/11/04,0.26
8/12/04,2.73
8/13/04,5.92
8/14/04,6.17
8/15/04,5.03
8/16/04,2.51
8/17/04,0.58
8/18/04,0.24
8/19/04,2.58
8/20/04,2.92
8/21/04,1.66
8/22/04,7.8
8/23/04,7.01
8/24/04,2.28
8/25/04,5.29
8/26/04,2.58
8/27/04,0.17
8/28/04,0.26
8/29/04,0.25
8/30/04,0.47
8/31/04,0.07
9/1/04,0.07
9/2/04,5.19
9/3/04,0.69
9/4/04,0.52
9/5/04,0.02
9/6/04,0.02
9/7/04,0.04
9/8/04,1.07
9/9/04,3
9/10/04,2.14
9/11/04,3.92
9/12/04,1.64
9/13/04,0.92
9/14/04,0.05
9/15/04,0.14
9/16/04,0.07
9/17/04,1.91
9/18/04,8.78
9/19/04,34.04
9/20/04,21.32
9/21/04,3.18
9/22/04,0.3
9/23/04,0.16
9/24/04,0.09
9/25/04,0.27
9/26/04,0.66
9/27/04,0.26
9/28/04,0.88
9/29/04,0.98
9/30/04,0.75
10/1/04,0.17
10/2/04,0.25
10/3/04,0.16
10/4/04,0.64
10/5/04,0.2
10/6/04,0.18
10/7/04,0.24
10/8/04,9.08
10/9/04,24.13
10/10/04,2.13
10/11/04,0.3
10/12/04,2.15
10/13/04,1.42
10/14/04,1.76
10/15/04,1.42
10/16/04,14.61
10/17/04,206.72
10/18/04,190.12
10/19/04,413.23
10/20/04,523.05
10/21/04,72.02
10/22/04,24.31
10/23/04,89.53
10/24/04,43.27
10/25/04,41.67
10/26/04,347.14
10/27/04,250.44
10/28/04,54.03
10/29/04,11.47
10/30/04,2.71
10/31/04,1.76
11/1/04,4.66
